   T(MeV)       phi_e      thetah        txh        nbh           N           P          H2          H3         He3         He4         Li6         Li7         Be7
 .19228E-01  0.1026E+01  0.5427E-24  0.7150E+00  0.7905E-14  0.2096E-07  0.7533E+00  0.2053E-04  0.7701E-07  0.7425E-05  0.6167E-01  0.8535E-14  0.1839E-10  0.3228E-09
 .19219E-01  0.1035E+01  0.5422E-24  0.7150E+00  0.7895E-14  0.2094E-07  0.7533E+00  0.2053E-04  0.7699E-07  0.7426E-05  0.6167E-01  0.8534E-14  0.1839E-10  0.3227E-09
 .19210E-01  0.1044E+01  0.5417E-24  0.7150E+00  0.7884E-14  0.2091E-07  0.7533E+00  0.2053E-04  0.7697E-07  0.7426E-05  0.6167E-01  0.8533E-14  0.1839E-10  0.3227E-09
 .19193E-01  0.1062E+01  0.5407E-24  0.7150E+00  0.7862E-14  0.2086E-07  0.7533E+00  0.2053E-04  0.7692E-07  0.7427E-05  0.6167E-01  0.8532E-14  0.1840E-10  0.3227E-09
 .19184E-01  0.1071E+01  0.5402E-24  0.7150E+00  0.7852E-14  0.2083E-07  0.7533E+00  0.2053E-04  0.7690E-07  0.7427E-05  0.6167E-01  0.8531E-14  0.1840E-10  0.3227E-09
 .19176E-01  0.1079E+01  0.5397E-24  0.7150E+00  0.7841E-14  0.2081E-07  0.7533E+00  0.2052E-04  0.7688E-07  0.7427E-05  0.6167E-01  0.8530E-14  0.1840E-10  0.3227E-09
 .19167E-01  0.1088E+01  0.5393E-24  0.7150E+00  0.7831E-14  0.2079E-07  0.7533E+00  0.2052E-04  0.7686E-07  0.7427E-05  0.6167E-01  0.8529E-14  0.1840E-10  0.3227E-09
 .19159E-01  0.1097E+01  0.5388E-24  0.7150E+00  0.7821E-14  0.2076E-07  0.7533E+00  0.2052E-04  0.7684E-07  0.7428E-05  0.6167E-01  0.8528E-14  0.1841E-10  0.3227E-09
 .19151E-01  0.1105E+01  0.5383E-24  0.7150E+00  0.7811E-14  0.2074E-07  0.7533E+00  0.2052E-04  0.7682E-07  0.7428E-05  0.6167E-01  0.8528E-14  0.1841E-10  0.3227E-09
 .19142E-01  0.1114E+01  0.5379E-24  0.7150E+00  0.7801E-14  0.2071E-07  0.7533E+00  0.2052E-04  0.7680E-07  0.7428E-05  0.6167E-01  0.8527E-14  0.1841E-10  0.3227E-09
 .19134E-01  0.1123E+01  0.5374E-24  0.7150E+00  0.7790E-14  0.2069E-07  0.7533E+00  0.2052E-04  0.7678E-07  0.7429E-05  0.6167E-01  0.8526E-14  0.1841E-10  0.3226E-09
 .19125E-01  0.1133E+01  0.5369E-24  0.7150E+00  0.7780E-14  0.2066E-07  0.7533E+00  0.2052E-04  0.7676E-07  0.7429E-05  0.6167E-01  0.8525E-14  0.1841E-10  0.3226E-09
 .19116E-01  0.1142E+01  0.5364E-24  0.7150E+00  0.7769E-14  0.2064E-07  0.7533E+00  0.2052E-04  0.7674E-07  0.7429E-05  0.6167E-01  0.8524E-14  0.1842E-10  0.3226E-09
 .19108E-01  0.1151E+01  0.5359E-24  0.7150E+00  0.7758E-14  0.2061E-07  0.7533E+00  0.2051E-04  0.7672E-07  0.7429E-05  0.6167E-01  0.8523E-14  0.1842E-10  0.3226E-09
 .19099E-01  0.1161E+01  0.5354E-24  0.7150E+00  0.7748E-14  0.2058E-07  0.7533E+00  0.2051E-04  0.7670E-07  0.7430E-05  0.6167E-01  0.8522E-14  0.1842E-10  0.3226E-09
 .19073E-01  0.1189E+01  0.5340E-24  0.7150E+00  0.7717E-14  0.2051E-07  0.7533E+00  0.2051E-04  0.7664E-07  0.7431E-05  0.6167E-01  0.8520E-14  0.1843E-10  0.3226E-09
 .19065E-01  0.1198E+01  0.5335E-24  0.7150E+00  0.7707E-14  0.2048E-07  0.7533E+00  0.2051E-04  0.7662E-07  0.7431E-05  0.6167E-01  0.8519E-14  0.1843E-10  0.3226E-09
 .19057E-01  0.1207E+01  0.5331E-24  0.7150E+00  0.7697E-14  0.2046E-07  0.7533E+00  0.2051E-04  0.7660E-07  0.7431E-05  0.6167E-01  0.8518E-14  0.1843E-10  0.3226E-09
 .19049E-01  0.1216E+01  0.5326E-24  0.7150E+00  0.7687E-14  0.2044E-07  0.7533E+00  0.2051E-04  0.7658E-07  0.7431E-05  0.6167E-01  0.8518E-14  0.1843E-10  0.3226E-09
 .19040E-01  0.1226E+01  0.5321E-24  0.7150E+00  0.7677E-14  0.2041E-07  0.7533E+00  0.2050E-04  0.7656E-07  0.7432E-05  0.6167E-01  0.8517E-14  0.1843E-10  0.3225E-09
 .19032E-01  0.1235E+01  0.5317E-24  0.7150E+00  0.7667E-14  0.2039E-07  0.7533E+00  0.2050E-04  0.7654E-07  0.7432E-05  0.6167E-01  0.8516E-14  0.1844E-10  0.3225E-09
 .19023E-01  0.1245E+01  0.5312E-24  0.7150E+00  0.7656E-14  0.2036E-07  0.7533E+00  0.2050E-04  0.7652E-07  0.7432E-05  0.6167E-01  0.8515E-14  0.1844E-10  0.3225E-09
 .19015E-01  0.1254E+01  0.5307E-24  0.7150E+00  0.7646E-14  0.2034E-07  0.7533E+00  0.2050E-04  0.7650E-07  0.7432E-05  0.6167E-01  0.8514E-14  0.1844E-10  0.3225E-09
 .19006E-01  0.1264E+01  0.5302E-24  0.7150E+00  0.7636E-14  0.2031E-07  0.7533E+00  0.2050E-04  0.7648E-07  0.7433E-05  0.6167E-01  0.8514E-14  0.1844E-10  0.3225E-09
 .18998E-01  0.1274E+01  0.5298E-24  0.7150E+00  0.7625E-14  0.2029E-07  0.7533E+00  0.2050E-04  0.7646E-07  0.7433E-05  0.6167E-01  0.8513E-14  0.1845E-10  0.3225E-09
 .18989E-01  0.1284E+01  0.5293E-24  0.7150E+00  0.7615E-14  0.2026E-07  0.7533E+00  0.2050E-04  0.7644E-07  0.7433E-05  0.6167E-01  0.8512E-14  0.1845E-10  0.3225E-09
 .18981E-01  0.1294E+01  0.5288E-24  0.7150E+00  0.7605E-14  0.2024E-07  0.7533E+00  0.2050E-04  0.7642E-07  0.7434E-05  0.6167E-01  0.8511E-14  0.1845E-10  0.3225E-09
 .18972E-01  0.1304E+01  0.5283E-24  0.7150E+00  0.7594E-14  0.2021E-07  0.7533E+00  0.2049E-04  0.7640E-07  0.7434E-05  0.6167E-01  0.8510E-14  0.1845E-10  0.3225E-09
 .18964E-01  0.1313E+01  0.5279E-24  0.7150E+00  0.7584E-14  0.2019E-07  0.7533E+00  0.2049E-04  0.7638E-07  0.7434E-05  0.6167E-01  0.8509E-14  0.1845E-10  0.3225E-09
 .18956E-01  0.1323E+01  0.5274E-24  0.7150E+00  0.7575E-14  0.2017E-07  0.7533E+00  0.2049E-04  0.7636E-07  0.7434E-05  0.6167E-01  0.8509E-14  0.1846E-10  0.3224E-09
 .18947E-01  0.1332E+01  0.5270E-24  0.7150E+00  0.7565E-14  0.2014E-07  0.7533E+00  0.2049E-04  0.7634E-07  0.7435E-05  0.6167E-01  0.8508E-14  0.1846E-10  0.3224E-09
 .18939E-01  0.1342E+01  0.5265E-24  0.7150E+00  0.7555E-14  0.2012E-07  0.7533E+00  0.2049E-04  0.7633E-07  0.7435E-05  0.6167E-01  0.8507E-14  0.1846E-10  0.3224E-09
 .18931E-01  0.1351E+01  0.5261E-24  0.7150E+00  0.7546E-14  0.2010E-07  0.7533E+00  0.2049E-04  0.7631E-07  0.7435E-05  0.6167E-01  0.8506E-14  0.1846E-10  0.3224E-09
 .18923E-01  0.1361E+01  0.5256E-24  0.7150E+00  0.7536E-14  0.2007E-07  0.7533E+00  0.2049E-04  0.7629E-07  0.7435E-05  0.6167E-01  0.8506E-14  0.1846E-10  0.3224E-09
 .18914E-01  0.1371E+01  0.5251E-24  0.7150E+00  0.7525E-14  0.2005E-07  0.7533E+00  0.2049E-04  0.7627E-07  0.7436E-05  0.6167E-01  0.8505E-14  0.1847E-10  0.3224E-09
 .18906E-01  0.1381E+01  0.5247E-24  0.7150E+00  0.7515E-14  0.2002E-07  0.7533E+00  0.2048E-04  0.7625E-07  0.7436E-05  0.6167E-01  0.8504E-14  0.1847E-10  0.3224E-09
 .18897E-01  0.1391E+01  0.5242E-24  0.7150E+00  0.7505E-14  0.2000E-07  0.7533E+00  0.2048E-04  0.7623E-07  0.7436E-05  0.6167E-01  0.8503E-14  0.1847E-10  0.3224E-09
 .18889E-01  0.1402E+01  0.5237E-24  0.7150E+00  0.7495E-14  0.1997E-07  0.7533E+00  0.2048E-04  0.7621E-07  0.7437E-05  0.6167E-01  0.8502E-14  0.1847E-10  0.3224E-09
 .18881E-01  0.1412E+01  0.5232E-24  0.7150E+00  0.7485E-14  0.1995E-07  0.7533E+00  0.2048E-04  0.7619E-07  0.7437E-05  0.6167E-01  0.8502E-14  0.1847E-10  0.3224E-09
 .18872E-01  0.1422E+01  0.5228E-24  0.7150E+00  0.7475E-14  0.1993E-07  0.7533E+00  0.2048E-04  0.7617E-07  0.7437E-05  0.6167E-01  0.8501E-14  0.1848E-10  0.3224E-09
 .18864E-01  0.1432E+01  0.5223E-24  0.7150E+00  0.7465E-14  0.1990E-07  0.7533E+00  0.2048E-04  0.7615E-07  0.7437E-05  0.6167E-01  0.8500E-14  0.1848E-10  0.3223E-09
 .18855E-01  0.1442E+01  0.5219E-24  0.7150E+00  0.7455E-14  0.1988E-07  0.7533E+00  0.2048E-04  0.7613E-07  0.7438E-05  0.6167E-01  0.8499E-14  0.1848E-10  0.3223E-09
 .18847E-01  0.1452E+01  0.5214E-24  0.7150E+00  0.7446E-14  0.1985E-07  0.7533E+00  0.2048E-04  0.7611E-07  0.7438E-05  0.6167E-01  0.8499E-14  0.1848E-10  0.3223E-09
 .18839E-01  0.1462E+01  0.5210E-24  0.7150E+00  0.7436E-14  0.1983E-07  0.7533E+00  0.2047E-04  0.7609E-07  0.7438E-05  0.6167E-01  0.8498E-14  0.1848E-10  0.3223E-09
 .18831E-01  0.1472E+01  0.5205E-24  0.7150E+00  0.7426E-14  0.1981E-07  0.7533E+00  0.2047E-04  0.7607E-07  0.7438E-05  0.6167E-01  0.8497E-14  0.1849E-10  0.3223E-09
 .18823E-01  0.1482E+01  0.5200E-24  0.7150E+00  0.7417E-14  0.1978E-07  0.7533E+00  0.2047E-04  0.7605E-07  0.7439E-05  0.6167E-01  0.8496E-14  0.1849E-10  0.3223E-09
 .18814E-01  0.1493E+01  0.5196E-24  0.7150E+00  0.7407E-14  0.1976E-07  0.7533E+00  0.2047E-04  0.7603E-07  0.7439E-05  0.6167E-01  0.8496E-14  0.1849E-10  0.3223E-09
 .18806E-01  0.1503E+01  0.5191E-24  0.7150E+00  0.7397E-14  0.1973E-07  0.7533E+00  0.2047E-04  0.7601E-07  0.7439E-05  0.6167E-01  0.8495E-14  0.1849E-10  0.3223E-09
 .18797E-01  0.1514E+01  0.5187E-24  0.7150E+00  0.7387E-14  0.1971E-07  0.7533E+00  0.2047E-04  0.7600E-07  0.7439E-05  0.6167E-01  0.8494E-14  0.1849E-10  0.3223E-09
 .18789E-01  0.1524E+01  0.5182E-24  0.7150E+00  0.7377E-14  0.1969E-07  0.7533E+00  0.2047E-04  0.7598E-07  0.7440E-05  0.6167E-01  0.8493E-14  0.1850E-10  0.3223E-09
 .18781E-01  0.1535E+01  0.5177E-24  0.7150E+00  0.7367E-14  0.1966E-07  0.7533E+00  0.2047E-04  0.7596E-07  0.7440E-05  0.6167E-01  0.8492E-14  0.1850E-10  0.3223E-09
 .18772E-01  0.1545E+01  0.5173E-24  0.7150E+00  0.7357E-14  0.1964E-07  0.7533E+00  0.2046E-04  0.7594E-07  0.7440E-05  0.6167E-01  0.8492E-14  0.1850E-10  0.3222E-09
 .18764E-01  0.1556E+01  0.5168E-24  0.7150E+00  0.7347E-14  0.1961E-07  0.7533E+00  0.2046E-04  0.7592E-07  0.7441E-05  0.6167E-01  0.8491E-14  0.1850E-10  0.3222E-09
 .18756E-01  0.1566E+01  0.5163E-24  0.7150E+00  0.7337E-14  0.1959E-07  0.7533E+00  0.2046E-04  0.7590E-07  0.7441E-05  0.6167E-01  0.8490E-14  0.1850E-10  0.3222E-09
 .18747E-01  0.1577E+01  0.5159E-24  0.7150E+00  0.7328E-14  0.1957E-07  0.7533E+00  0.2046E-04  0.7588E-07  0.7441E-05  0.6167E-01  0.8489E-14  0.1851E-10  0.3222E-09
 .18739E-01  0.1587E+01  0.5154E-24  0.7150E+00  0.7318E-14  0.1954E-07  0.7533E+00  0.2046E-04  0.7586E-07  0.7441E-05  0.6167E-01  0.8489E-14  0.1851E-10  0.3222E-09
 .18730E-01  0.1598E+01  0.5150E-24  0.7150E+00  0.7308E-14  0.1952E-07  0.7533E+00  0.2046E-04  0.7584E-07  0.7442E-05  0.6167E-01  0.8488E-14  0.1851E-10  0.3222E-09
 .18722E-01  0.1608E+01  0.5145E-24  0.7150E+00  0.7298E-14  0.1950E-07  0.7533E+00  0.2046E-04  0.7582E-07  0.7442E-05  0.6167E-01  0.8487E-14  0.1851E-10  0.3222E-09
 .18714E-01  0.1619E+01  0.5141E-24  0.7150E+00  0.7289E-14  0.1947E-07  0.7533E+00  0.2046E-04  0.7580E-07  0.7442E-05  0.6167E-01  0.8486E-14  0.1851E-10  0.3222E-09
 .18706E-01  0.1630E+01  0.5136E-24  0.7150E+00  0.7279E-14  0.1945E-07  0.7533E+00  0.2045E-04  0.7578E-07  0.7442E-05  0.6167E-01  0.8486E-14  0.1852E-10  0.3222E-09
 .18697E-01  0.1640E+01  0.5131E-24  0.7150E+00  0.7269E-14  0.1942E-07  0.7533E+00  0.2045E-04  0.7576E-07  0.7443E-05  0.6167E-01  0.8485E-14  0.1852E-10  0.3222E-09
 .18689E-01  0.1651E+01  0.5127E-24  0.7150E+00  0.7260E-14  0.1940E-07  0.7533E+00  0.2045E-04  0.7575E-07  0.7443E-05  0.6167E-01  0.8484E-14  0.1852E-10  0.3221E-09
 .18681E-01  0.1662E+01  0.5122E-24  0.7150E+00  0.7250E-14  0.1938E-07  0.7533E+00  0.2045E-04  0.7573E-07  0.7443E-05  0.6167E-01  0.8483E-14  0.1852E-10  0.3221E-09
 .18672E-01  0.1672E+01  0.5118E-24  0.7150E+00  0.7240E-14  0.1935E-07  0.7533E+00  0.2045E-04  0.7571E-07  0.7444E-05  0.6167E-01  0.8483E-14  0.1852E-10  0.3221E-09
 .18664E-01  0.1683E+01  0.5113E-24  0.7150E+00  0.7231E-14  0.1933E-07  0.7533E+00  0.2045E-04  0.7569E-07  0.7444E-05  0.6167E-01  0.8482E-14  0.1853E-10  0.3221E-09
 .18656E-01  0.1694E+01  0.5109E-24  0.7150E+00  0.7221E-14  0.1931E-07  0.7533E+00  0.2045E-04  0.7567E-07  0.7444E-05  0.6167E-01  0.8481E-14  0.1853E-10  0.3221E-09
 .18648E-01  0.1705E+01  0.5104E-24  0.7150E+00  0.7211E-14  0.1928E-07  0.7533E+00  0.2045E-04  0.7565E-07  0.7444E-05  0.6167E-01  0.8480E-14  0.1853E-10  0.3221E-09
 .18639E-01  0.1715E+01  0.5100E-24  0.7150E+00  0.7202E-14  0.1926E-07  0.7533E+00  0.2045E-04  0.7563E-07  0.7445E-05  0.6167E-01  0.8480E-14  0.1853E-10  0.3221E-09
 .18631E-01  0.1726E+01  0.5095E-24  0.7150E+00  0.7192E-14  0.1924E-07  0.7533E+00  0.2044E-04  0.7561E-07  0.7445E-05  0.6167E-01  0.8479E-14  0.1853E-10  0.3221E-09
 .18623E-01  0.1737E+01  0.5091E-24  0.7150E+00  0.7183E-14  0.1921E-07  0.7533E+00  0.2044E-04  0.7559E-07  0.7445E-05  0.6167E-01  0.8478E-14  0.1854E-10  0.3221E-09
 .18615E-01  0.1748E+01  0.5086E-24  0.7150E+00  0.7173E-14  0.1919E-07  0.7533E+00  0.2044E-04  0.7558E-07  0.7445E-05  0.6167E-01  0.8477E-14  0.1854E-10  0.3221E-09
 .18606E-01  0.1759E+01  0.5082E-24  0.7150E+00  0.7164E-14  0.1917E-07  0.7533E+00  0.2044E-04  0.7556E-07  0.7446E-05  0.6167E-01  0.8477E-14  0.1854E-10  0.3221E-09
 .18598E-01  0.1769E+01  0.5077E-24  0.7150E+00  0.7154E-14  0.1914E-07  0.7533E+00  0.2044E-04  0.7554E-07  0.7446E-05  0.6167E-01  0.8476E-14  0.1854E-10  0.3221E-09
 .18590E-01  0.1780E+01  0.5073E-24  0.7150E+00  0.7145E-14  0.1912E-07  0.7533E+00  0.2044E-04  0.7552E-07  0.7446E-05  0.6167E-01  0.8475E-14  0.1854E-10  0.3220E-09
 .18582E-01  0.1791E+01  0.5068E-24  0.7150E+00  0.7135E-14  0.1910E-07  0.7533E+00  0.2044E-04  0.7550E-07  0.7446E-05  0.6167E-01  0.8475E-14  0.1855E-10  0.3220E-09
 .18573E-01  0.1802E+01  0.5064E-24  0.7150E+00  0.7126E-14  0.1907E-07  0.7533E+00  0.2044E-04  0.7548E-07  0.7447E-05  0.6167E-01  0.8474E-14  0.1855E-10  0.3220E-09
 .18565E-01  0.1813E+01  0.5059E-24  0.7150E+00  0.7117E-14  0.1905E-07  0.7533E+00  0.2043E-04  0.7546E-07  0.7447E-05  0.6167E-01  0.8473E-14  0.1855E-10  0.3220E-09
 .18557E-01  0.1824E+01  0.5055E-24  0.7150E+00  0.7107E-14  0.1903E-07  0.7533E+00  0.2043E-04  0.7544E-07  0.7447E-05  0.6167E-01  0.8472E-14  0.1855E-10  0.3220E-09
 .18549E-01  0.1835E+01  0.5050E-24  0.7150E+00  0.7098E-14  0.1901E-07  0.7533E+00  0.2043E-04  0.7543E-07  0.7448E-05  0.6167E-01  0.8472E-14  0.1856E-10  0.3220E-09
 .18541E-01  0.1846E+01  0.5046E-24  0.7150E+00  0.7088E-14  0.1898E-07  0.7533E+00  0.2043E-04  0.7541E-07  0.7448E-05  0.6167E-01  0.8471E-14  0.1856E-10  0.3220E-09
 .18533E-01  0.1857E+01  0.5041E-24  0.7150E+00  0.7079E-14  0.1896E-07  0.7533E+00  0.2043E-04  0.7539E-07  0.7448E-05  0.6167E-01  0.8470E-14  0.1856E-10  0.3220E-09
 .18524E-01  0.1868E+01  0.5037E-24  0.7150E+00  0.7070E-14  0.1894E-07  0.7533E+00  0.2043E-04  0.7537E-07  0.7448E-05  0.6167E-01  0.8470E-14  0.1856E-10  0.3220E-09
 .18516E-01  0.1879E+01  0.5033E-24  0.7150E+00  0.7060E-14  0.1891E-07  0.7533E+00  0.2043E-04  0.7535E-07  0.7449E-05  0.6167E-01  0.8469E-14  0.1856E-10  0.3220E-09
 .18508E-01  0.1890E+01  0.5028E-24  0.7150E+00  0.7051E-14  0.1889E-07  0.7533E+00  0.2043E-04  0.7533E-07  0.7449E-05  0.6167E-01  0.8468E-14  0.1857E-10  0.3220E-09
 .18500E-01  0.1901E+01  0.5024E-24  0.7150E+00  0.7042E-14  0.1887E-07  0.7533E+00  0.2043E-04  0.7532E-07  0.7449E-05  0.6167E-01  0.8467E-14  0.1857E-10  0.3219E-09
 .18492E-01  0.1912E+01  0.5019E-24  0.7150E+00  0.7032E-14  0.1885E-07  0.7533E+00  0.2042E-04  0.7530E-07  0.7449E-05  0.6167E-01  0.8467E-14  0.1857E-10  0.3219E-09
 .18484E-01  0.1923E+01  0.5015E-24  0.7150E+00  0.7023E-14  0.1882E-07  0.7533E+00  0.2042E-04  0.7528E-07  0.7450E-05  0.6167E-01  0.8466E-14  0.1857E-10  0.3219E-09
 .18476E-01  0.1934E+01  0.5011E-24  0.7150E+00  0.7014E-14  0.1880E-07  0.7533E+00  0.2042E-04  0.7526E-07  0.7450E-05  0.6167E-01  0.8465E-14  0.1857E-10  0.3219E-09
 .18468E-01  0.1945E+01  0.5006E-24  0.7150E+00  0.7005E-14  0.1878E-07  0.7533E+00  0.2042E-04  0.7524E-07  0.7450E-05  0.6167E-01  0.8465E-14  0.1858E-10  0.3219E-09
 .18459E-01  0.1956E+01  0.5002E-24  0.7150E+00  0.6996E-14  0.1876E-07  0.7533E+00  0.2042E-04  0.7522E-07  0.7450E-05  0.6167E-01  0.8464E-14  0.1858E-10  0.3219E-09
 .18451E-01  0.1967E+01  0.4997E-24  0.7150E+00  0.6986E-14  0.1873E-07  0.7533E+00  0.2042E-04  0.7521E-07  0.7451E-05  0.6167E-01  0.8463E-14  0.1858E-10  0.3219E-09
 .18443E-01  0.1978E+01  0.4993E-24  0.7150E+00  0.6977E-14  0.1871E-07  0.7533E+00  0.2042E-04  0.7519E-07  0.7451E-05  0.6167E-01  0.8463E-14  0.1858E-10  0.3219E-09
 .18435E-01  0.1989E+01  0.4989E-24  0.7150E+00  0.6968E-14  0.1869E-07  0.7533E+00  0.2042E-04  0.7517E-07  0.7451E-05  0.6167E-01  0.8462E-14  0.1858E-10  0.3219E-09
 .18427E-01  0.2000E+01  0.4984E-24  0.7150E+00  0.6959E-14  0.1866E-07  0.7533E+00  0.2042E-04  0.7515E-07  0.7451E-05  0.6167E-01  0.8461E-14  0.1859E-10  0.3219E-09
 .18419E-01  0.2011E+01  0.4980E-24  0.7150E+00  0.6950E-14  0.1864E-07  0.7533E+00  0.2041E-04  0.7513E-07  0.7452E-05  0.6167E-01  0.8460E-14  0.1859E-10  0.3219E-09
 .18411E-01  0.2022E+01  0.4976E-24  0.7150E+00  0.6941E-14  0.1862E-07  0.7533E+00  0.2041E-04  0.7512E-07  0.7452E-05  0.6167E-01  0.8460E-14  0.1859E-10  0.3218E-09
 .18403E-01  0.2033E+01  0.4971E-24  0.7150E+00  0.6931E-14  0.1860E-07  0.7533E+00  0.2041E-04  0.7510E-07  0.7452E-05  0.6167E-01  0.8459E-14  0.1859E-10  0.3218E-09
 .18395E-01  0.2045E+01  0.4967E-24  0.7150E+00  0.6922E-14  0.1858E-07  0.7533E+00  0.2041E-04  0.7508E-07  0.7452E-05  0.6167E-01  0.8458E-14  0.1859E-10  0.3218E-09
 .18387E-01  0.2056E+01  0.4963E-24  0.7150E+00  0.6913E-14  0.1855E-07  0.7533E+00  0.2041E-04  0.7506E-07  0.7453E-05  0.6167E-01  0.8458E-14  0.1860E-10  0.3218E-09
 .18379E-01  0.2067E+01  0.4958E-24  0.7150E+00  0.6904E-14  0.1853E-07  0.7533E+00  0.2041E-04  0.7504E-07  0.7453E-05  0.6167E-01  0.8457E-14  0.1860E-10  0.3218E-09
 .18371E-01  0.2078E+01  0.4954E-24  0.7150E+00  0.6895E-14  0.1851E-07  0.7533E+00  0.2041E-04  0.7503E-07  0.7453E-05  0.6167E-01  0.8456E-14  0.1860E-10  0.3218E-09
 .18363E-01  0.2089E+01  0.4950E-24  0.7150E+00  0.6886E-14  0.1849E-07  0.7533E+00  0.2041E-04  0.7501E-07  0.7453E-05  0.6167E-01  0.8456E-14  0.1860E-10  0.3218E-09
 .18355E-01  0.2100E+01  0.4945E-24  0.7150E+00  0.6877E-14  0.1846E-07  0.7533E+00  0.2041E-04  0.7499E-07  0.7454E-05  0.6167E-01  0.8455E-14  0.1860E-10  0.3218E-09
 .18347E-01  0.2112E+01  0.4941E-24  0.7150E+00  0.6868E-14  0.1844E-07  0.7533E+00  0.2040E-04  0.7497E-07  0.7454E-05  0.6167E-01  0.8454E-14  0.1861E-10  0.3218E-09
 .18339E-01  0.2123E+01  0.4937E-24  0.7150E+00  0.6859E-14  0.1842E-07  0.7533E+00  0.2040E-04  0.7495E-07  0.7454E-05  0.6167E-01  0.8454E-14  0.1861E-10  0.3218E-09
 .18331E-01  0.2134E+01  0.4932E-24  0.7150E+00  0.6850E-14  0.1840E-07  0.7533E+00  0.2040E-04  0.7494E-07  0.7454E-05  0.6167E-01  0.8453E-14  0.1861E-10  0.3218E-09
 .18323E-01  0.2145E+01  0.4928E-24  0.7150E+00  0.6841E-14  0.1838E-07  0.7533E+00  0.2040E-04  0.7492E-07  0.7455E-05  0.6167E-01  0.8452E-14  0.1861E-10  0.3218E-09
 .18315E-01  0.2156E+01  0.4924E-24  0.7150E+00  0.6832E-14  0.1835E-07  0.7533E+00  0.2040E-04  0.7490E-07  0.7455E-05  0.6167E-01  0.8452E-14  0.1861E-10  0.3217E-09
 .18307E-01  0.2168E+01  0.4919E-24  0.7150E+00  0.6823E-14  0.1833E-07  0.7533E+00  0.2040E-04  0.7488E-07  0.7455E-05  0.6167E-01  0.8451E-14  0.1862E-10  0.3217E-09
 .18298E-01  0.2179E+01  0.4915E-24  0.7150E+00  0.6814E-14  0.1831E-07  0.7533E+00  0.2040E-04  0.7486E-07  0.7455E-05  0.6167E-01  0.8450E-14  0.1862E-10  0.3217E-09
 .18290E-01  0.2191E+01  0.4910E-24  0.7150E+00  0.6805E-14  0.1829E-07  0.7533E+00  0.2040E-04  0.7485E-07  0.7456E-05  0.6167E-01  0.8450E-14  0.1862E-10  0.3217E-09
 .18282E-01  0.2203E+01  0.4906E-24  0.7150E+00  0.6796E-14  0.1826E-07  0.7533E+00  0.2040E-04  0.7483E-07  0.7456E-05  0.6167E-01  0.8449E-14  0.1862E-10  0.3217E-09
 .18274E-01  0.2214E+01  0.4902E-24  0.7150E+00  0.6787E-14  0.1824E-07  0.7533E+00  0.2039E-04  0.7481E-07  0.7456E-05  0.6167E-01  0.8448E-14  0.1863E-10  0.3217E-09
 .18266E-01  0.2225E+01  0.4897E-24  0.7150E+00  0.6778E-14  0.1822E-07  0.7533E+00  0.2039E-04  0.7479E-07  0.7457E-05  0.6167E-01  0.8448E-14  0.1863E-10  0.3217E-09
 .18258E-01  0.2236E+01  0.4893E-24  0.7150E+00  0.6769E-14  0.1820E-07  0.7533E+00  0.2039E-04  0.7477E-07  0.7457E-05  0.6167E-01  0.8447E-14  0.1863E-10  0.3217E-09
 .18250E-01  0.2248E+01  0.4889E-24  0.7150E+00  0.6760E-14  0.1818E-07  0.7533E+00  0.2039E-04  0.7476E-07  0.7457E-05  0.6167E-01  0.8446E-14  0.1863E-10  0.3217E-09
 .18242E-01  0.2259E+01  0.4885E-24  0.7150E+00  0.6752E-14  0.1815E-07  0.7533E+00  0.2039E-04  0.7474E-07  0.7457E-05  0.6167E-01  0.8446E-14  0.1863E-10  0.3217E-09
 .18234E-01  0.2270E+01  0.4881E-24  0.7150E+00  0.6743E-14  0.1813E-07  0.7533E+00  0.2039E-04  0.7472E-07  0.7458E-05  0.6167E-01  0.8445E-14  0.1864E-10  0.3217E-09
 .18227E-01  0.2282E+01  0.4876E-24  0.7150E+00  0.6734E-14  0.1811E-07  0.7533E+00  0.2039E-04  0.7470E-07  0.7458E-05  0.6167E-01  0.8444E-14  0.1864E-10  0.3217E-09
 .18218E-01  0.2294E+01  0.4872E-24  0.7150E+00  0.6725E-14  0.1809E-07  0.7533E+00  0.2039E-04  0.7469E-07  0.7458E-05  0.6167E-01  0.8444E-14  0.1864E-10  0.3216E-09
 .18210E-01  0.2305E+01  0.4867E-24  0.7150E+00  0.6716E-14  0.1806E-07  0.7533E+00  0.2039E-04  0.7467E-07  0.7458E-05  0.6167E-01  0.8443E-14  0.1864E-10  0.3216E-09
 .18202E-01  0.2317E+01  0.4863E-24  0.7150E+00  0.6707E-14  0.1804E-07  0.7533E+00  0.2038E-04  0.7465E-07  0.7459E-05  0.6167E-01  0.8442E-14  0.1864E-10  0.3216E-09
 .18193E-01  0.2329E+01  0.4859E-24  0.7150E+00  0.6697E-14  0.1802E-07  0.7533E+00  0.2038E-04  0.7463E-07  0.7459E-05  0.6167E-01  0.8442E-14  0.1865E-10  0.3216E-09
 .18185E-01  0.2341E+01  0.4854E-24  0.7150E+00  0.6688E-14  0.1800E-07  0.7533E+00  0.2038E-04  0.7461E-07  0.7459E-05  0.6167E-01  0.8441E-14  0.1865E-10  0.3216E-09
